Year,League,Statistic,Team,Value
1926,AL,Fewest Hits Allowed,Philadelphia,1362.0
1926,AL,Fewest Home Runs Allowed,Philadelphia,38.0
1926,AL,Fewest Walks Allowed,Cleveland,450.0
1926,AL,Saves,Washington,26.0
1926,AL,Shutouts,Chicago,11.0
1926,AL,Strikeouts,Philadelphia,571.0
1927,AL,Complete Games,Chicago,85.0
1927,AL,ERA,New York,3.2
1927,AL,Fewest Hits Allowed,New York,1403.0
1927,AL,Fewest Home Runs Allowed,Cleveland,37.0
1927,AL,Fewest Walks Allowed,New York,409.0
1927,AL,Saves,Philadelphia,24.0
1927,AL,Shutouts,New York,11.0
1927,AL,Strikeouts,Philadelphia,553.0
1928,AL,Complete Games,Chicago,88.0
1928,AL,ERA,Philadelphia,3.37
1928,AL,Fewest Hits Allowed,Philadelphia,1349.0
1928,AL,Fewest Home Runs Allowed,Washington,40.0
1928,AL,Fewest Walks Allowed,Philadelphia,424.0
1928,AL,Saves,New York,21.0
1928,AL,Shutouts,Philadelphia,15.0
1928,AL,Strikeouts,Philadelphia,607.0
1929,AL,Complete Games,Boston,84.0
1929,AL,ERA,Philadelphia,3.44
1929,AL,Fewest Hits Allowed,Philadelphia,1371.0
1929,AL,Fewest Home Runs Allowed,Washington,48.0
1929,AL,Fewest Walks Allowed,St. Louis,462.0
1929,AL,Saves,Philadelphia,24.0
1929,AL,Shutouts,St. Louis,15.0
1929,AL,Strikeouts,Philadelphia,573.0
1930,AL,Complete Games,Washington,78.0
1930,AL,ERA,Washington,3.97
1930,AL,Fewest Hits Allowed,Washington,1367.0
1930,AL,Fewest Home Runs Allowed,Washington,52.0
1930,AL,Fewest Walks Allowed,Chicago,407.0
1930,AL,Saves,Philadelphia,21.0
1930,AL,Shutouts,Philadelphia,8.0
1930,AL,Strikeouts,Philadelphia,672.0
1931,AL,Complete Games,Philadelphia,97.0
1931,AL,ERA,Philadelphia,3.47
1931,AL,Fewest Hits Allowed,Philadelphia,1342.0
1931,AL,Fewest Home Runs Allowed,Boston,54.0
1931,AL,Fewest Walks Allowed,St. Louis,448.0
1931,AL,Saves,Washington,24.0
1931,AL,Shutouts,Philadelphia,12.0
1931,AL,Strikeouts,New York,686.0
1932,AL,Complete Games,New York,96.0
1932,AL,ERA,New York,3.99
1932,AL,Fewest Hits Allowed,Detroit,1421.0
1932,AL,Fewest Home Runs Allowed,Cleveland,70.0
1932,AL,Fewest Walks Allowed,Cleveland,446.0
1932,AL,Saves,Washington,22.0
1932,AL,Shutouts,New York,11.0
1932,AL,Strikeouts,New York,780.0
1933,AL,Complete Games,Cleveland,74.0
1933,AL,ERA,Cleveland,3.71
1933,AL,Fewest Hits Allowed,Cleveland,1382.0
1933,AL,Fewest Home Runs Allowed,Cleveland,60.0
1933,AL,Fewest Walks Allowed,Washington,452.0
1933,AL,Saves,Washington,26.0
1933,AL,Shutouts,Cleveland,12.0
1933,AL,Strikeouts,New York,711.0
1934,AL,Complete Games,New York,83.0
1934,AL,ERA,New York,3.76
1934,AL,Fewest Hits Allowed,New York,1349.0
1934,AL,Fewest Walks Allowed,Detroit,488.0
1934,AL,Saves,St. Louis,20.0
1934,AL,Shutouts,Detroit,13.0
1934,AL,Strikeouts,New York,656.0
1935,AL,Complete Games,Detroit,87.0
1935,AL,ERA,New York,3.6
1935,AL,Fewest Hits Allowed,New York,1276.0
1935,AL,Fewest Home Runs Allowed,Boston,67.0
1935,AL,Fewest Walks Allowed,Cleveland,457.0
1935,AL,Saves,Cleveland,21.0
1935,AL,Shutouts,Detroit,16.0
1935,AL,Strikeouts,New York,594.0
1936,AL,Complete Games,Chicago,80.0
1936,AL,ERA,New York,4.18
1936,AL,Fewest Hits Allowed,New York,1474.0
1936,AL,Fewest Home Runs Allowed,Cleveland,73.0
1936,AL,Fewest Walks Allowed,Boston,552.0
1936,AL,Saves,New York,21.0
1936,AL,Shutouts,Detroit,13.0
1936,AL,Strikeouts,New York,624.0
1937,AL,Complete Games,New York,82.0
1937,AL,ERA,New York,3.65
1937,AL,Fewest Hits Allowed,New York,1417.0
1937,AL,Fewest Home Runs Allowed,Cleveland,61.0
1937,AL,Fewest Walks Allowed,New York,506.0
1937,AL,Saves,Chicago,21.0
1937,AL,Shutouts,Chicago,15.0
1937,AL,Strikeouts,Boston,682.0
1938,AL,Complete Games,New York,91.0
1938,AL,ERA,New York,3.92
1938,AL,Fewest Hits Allowed,Cleveland,1416.0
1938,AL,Fewest Home Runs Allowed,New York,85.0
1938,AL,Fewest Walks Allowed,Boston,528.0
1938,AL,Saves,Cleveland,17.0
1938,AL,Shutouts,New York,11.0
1938,AL,Strikeouts,Cleveland,717.0
1939,AL,Complete Games,New York,87.0
1939,AL,ERA,New York,3.31
1939,AL,Fewest Hits Allowed,New York,1208.0
1939,AL,Fewest Walks Allowed,Chicago,454.0
1939,AL,Saves,New York,26.0
1939,AL,Shutouts,New York,15.0
1939,AL,Strikeouts,Detroit,633.0
1940,AL,Complete Games,Chicago,83.0
1940,AL,ERA,Cleveland,3.64
1940,AL,Fewest Hits Allowed,Cleveland,1328.0
1940,AL,Fewest Home Runs Allowed,Cleveland,86.0
1940,AL,Fewest Walks Allowed,Chicago,480.0
1940,AL,Saves,Detroit,23.0
1940,AL,Shutouts,Cleveland,13.0
1940,AL,Strikeouts,Detroit,752.0
1941,AL,Complete Games,Chicago,106.0
1941,AL,ERA,Chicago,3.52
1941,AL,Fewest Hits Allowed,New York,1309.0
1941,AL,Fewest Home Runs Allowed,Washington,69.0
1941,AL,Fewest Walks Allowed,Chicago,521.0
1941,AL,Saves,New York,26.0
1941,AL,Shutouts,Chicago,14.0
1941,AL,Strikeouts,Detroit,697.0
1942,AL,Complete Games,New York,88.0
1942,AL,ERA,New York,2.91
1942,AL,Fewest Hits Allowed,New York,1259.0
1942,AL,Fewest Home Runs Allowed,Washington,50.0
1942,AL,Fewest Walks Allowed,New York,431.0
1942,AL,Saves,Boston,17.0
1942,AL,Shutouts,New York,18.0
1942,AL,Strikeouts,Detroit,671.0
1943,AL,Complete Games,New York,83.0
1943,AL,ERA,New York,2.93
1943,AL,Fewest Hits Allowed,Detroit,1226.0
1943,AL,Fewest Home Runs Allowed,Washington,48.0
1943,AL,Fewest Walks Allowed,St. Louis,488.0
1943,AL,Saves,Washington,21.0
1943,AL,Shutouts,Detroit,18.0
1943,AL,Strikeouts,Detroit,706.0
1944,AL,Complete Games,Detroit,87.0
1944,AL,ERA,Detroit,3.09
1944,AL,Fewest Hits Allowed,Philadelphia,1345.0
1944,AL,Fewest Home Runs Allowed,Detroit,39.0
1944,AL,Fewest Walks Allowed,Philadelphia,390.0
1944,AL,Saves,Cleveland,18.0
1944,AL,Shutouts,Detroit,20.0
1944,AL,Strikeouts,St. Louis,581.0
1945,AL,Complete Games,St. Louis,91.0
1945,AL,ERA,Washington,2.93
1945,AL,Fewest Hits Allowed,Cleveland,1269.0
1945,AL,Fewest Home Runs Allowed,Cleveland,39.0
1945,AL,Fewest Walks Allowed,Washington,440.0
1945,AL,Saves,Detroit,16.0
1945,AL,Shutouts,Detroit,19.0
1945,AL,Strikeouts,Detroit,588.0
1946,AL,Complete Games,Detroit,94.0
1946,AL,ERA,Chicago,3.1
1946,AL,Fewest Hits Allowed,New York,1232.0
1946,AL,Fewest Home Runs Allowed,New York,66.0
1946,AL,Fewest Walks Allowed,Detroit,497.0
1946,AL,Saves,Boston,20.0
1946,AL,Shutouts,Detroit,18.0
1946,AL,Strikeouts,Detroit,896.0
1947,AL,Complete Games,Detroit,77.0
1947,AL,ERA,New York,3.4
1947,AL,Fewest Hits Allowed,New York,1221.0
1947,AL,Fewest Home Runs Allowed,Washington,63.0
1947,AL,Fewest Walks Allowed,Detroit,531.0
1947,AL,Saves,Cleveland,29.0
1947,AL,Shutouts,Detroit,15.0
1947,AL,Strikeouts,New York,691.0
1948,AL,Complete Games,Philadelphia,74.0
1948,AL,ERA,Cleveland,3.23
1948,AL,Fewest Hits Allowed,Cleveland,1246.0
1948,AL,Fewest Home Runs Allowed,Washington,81.0
1948,AL,Fewest Walks Allowed,Detroit,589.0
1948,AL,Saves,Cleveland,30.0
1948,AL,Shutouts,Cleveland,26.0
1948,AL,Strikeouts,Detroit,678.0
1949,AL,Complete Games,Philadelphia,85.0
1949,AL,ERA,Cleveland,3.36
1949,AL,Fewest Hits Allowed,New York,1231.0
1949,AL,Fewest Home Runs Allowed,Washington,79.0
1949,AL,Fewest Walks Allowed,Cleveland,611.0
1949,AL,Saves,New York,36.0
1949,AL,Shutouts,Detroit,19.0
1949,AL,Strikeouts,New York,671.0
1950,AL,Complete Games,Detroit,72.0
1950,AL,ERA,Cleveland,3.76
1950,AL,Fewest Hits Allowed,Cleveland,1289.0
1950,AL,Fewest Home Runs Allowed,Washington,99.0
1950,AL,Fewest Walks Allowed,Detroit,553.0
1950,AL,Saves,New York,31.0
1950,AL,Shutouts,New York,12.0
1950,AL,Strikeouts,New York,712.0
1951,AL,Complete Games,Cleveland,76.0
1951,AL,ERA,Cleveland,3.39
1951,AL,Fewest Hits Allowed,Cleveland,1287.0
1951,AL,Fewest Home Runs Allowed,Cleveland,85.0
1951,AL,Fewest Walks Allowed,Chicago,549.0
1951,AL,Saves,Boston,24.0
1951,AL,Shutouts,New York,24.0
1951,AL,Strikeouts,New York,664.0
1952,AL,Complete Games,Cleveland,80.0
1952,AL,ERA,New York,3.15
1952,AL,Fewest Hits Allowed,New York,1240.0
1952,AL,Fewest Home Runs Allowed,Washington,78.0
1952,AL,Fewest Walks Allowed,Philadelphia,526.0
1952,AL,Saves,Chicago,28.0
1952,AL,Shutouts,New York,21.0
1952,AL,Strikeouts,Chicago,774.0
1953,AL,Complete Games,Cleveland,81.0
1953,AL,ERA,New York,3.21
1953,AL,Fewest Hits Allowed,New York,1286.0
1953,AL,Fewest Home Runs Allowed,Boston,92.0
1953,AL,Fewest Walks Allowed,Washington,478.0
1953,AL,Saves,New York,39.0
1953,AL,Shutouts,New York,18.0
1953,AL,Strikeouts,Chicago,714.0
1954,AL,Complete Games,Cleveland,77.0
1954,AL,ERA,Cleveland,2.79
1954,AL,Fewest Hits Allowed,Cleveland,1220.0
1954,AL,Fewest Home Runs Allowed,Baltimore,78.0
1954,AL,Fewest Walks Allowed,Cleveland,486.0
1954,AL,Saves,New York,37.0
1954,AL,Shutouts,Chicago,23.0
1954,AL,Strikeouts,Boston,707.0
1955,AL,Complete Games,Detroit,66.0
1955,AL,ERA,New York,3.23
1955,AL,Fewest Hits Allowed,New York,1163.0
1955,AL,Fewest Home Runs Allowed,Washington,99.0
1955,AL,Fewest Walks Allowed,Chicago,497.0
1955,AL,Saves,Cleveland,36.0
1955,AL,Shutouts,Chicago,20.0
1955,AL,Strikeouts,Cleveland,877.0
1956,AL,Complete Games,Cleveland,67.0
1956,AL,ERA,Cleveland,3.33
1956,AL,Fewest Hits Allowed,Cleveland,1233.0
1956,AL,Fewest Home Runs Allowed,Baltimore,99.0
1956,AL,Fewest Walks Allowed,Chicago,524.0
1956,AL,Saves,New York,35.0
1956,AL,Shutouts,Cleveland,17.0
1956,AL,Strikeouts,Cleveland,845.0
1957,AL,Complete Games,Chicago,59.0
1957,AL,ERA,New York,3.0
1957,AL,Fewest Hits Allowed,New York,1198.0
1957,AL,Fewest Home Runs Allowed,Baltimore,95.0
1957,AL,Fewest Walks Allowed,Chicago,470.0
1957,AL,Saves,New York,42.0
1957,AL,Shutouts,Chicago,16.0
1957,AL,Strikeouts,New York,810.0
1958,AL,Complete Games,Detroit,59.0
1958,AL,ERA,New York,3.22
1958,AL,Fewest Hits Allowed,New York,1201.0
1958,AL,Fewest Home Runs Allowed,Baltimore,106.0
1958,AL,Fewest Walks Allowed,Baltimore,403.0
1958,AL,Saves,New York,33.0
1958,AL,Shutouts,New York,21.0
1958,AL,Strikeouts,Detroit,797.0
1959,AL,Complete Games,Cleveland,58.0
1959,AL,ERA,Chicago,3.29
1959,AL,Fewest Hits Allowed,Cleveland,1230.0
1959,AL,Fewest Home Runs Allowed,Baltimore,111.0
1959,AL,Fewest Walks Allowed,Detroit,432.0
1959,AL,Saves,Chicago,36.0
1959,AL,Shutouts,Baltimore,15.0
1959,AL,Strikeouts,New York,836.0
1960,AL,Complete Games,Baltimore,48.0
1960,AL,ERA,New York,3.52
1960,AL,Fewest Hits Allowed,Baltimore,1222.0
1960,AL,Fewest Home Runs Allowed,Baltimore,117.0
1960,AL,Fewest Walks Allowed,Detroit,474.0
1960,AL,Saves,New York,42.0
1960,AL,Shutouts,New York,16.0
1960,AL,Strikeouts,Detroit,824.0
1961,AL,Complete Games,Detroit,62.0
1961,AL,ERA,Baltimore,3.22
1961,AL,Fewest Hits Allowed,Baltimore,1226.0
1961,AL,Fewest Home Runs Allowed,Baltimore,109.0
1961,AL,Fewest Walks Allowed,Detroit,469.0
1961,AL,Saves,New York,39.0
1961,AL,Shutouts,Baltimore,21.0
1961,AL,Strikeouts,Los Angeles,973.0
1962,AL,Complete Games,Minnesota,53.0
1962,AL,ERA,Baltimore,3.7
1962,AL,Fewest Hits Allowed,Baltimore,1373.0
