Year,League,Statistic,Team,Value
1924,AL,Strikeouts,New York,487
1925,AL,Complete Games,Cleveland,93
1925,AL,ERA,Washington,3.70
1925,AL,Fewest Hits Allowed,Washington,1434
1925,AL,Fewest Home Runs Allowed,Cleveland,41
1925,AL,Fewest Walks Allowed,Chicago,489
1925,AL,Saves,Washington,21
1925,AL,Shutouts,Chicago,12
1925,AL,Strikeouts,Philadelphia,495
1926,AL,Complete Games,Cleveland,96
1926,AL,ERA,Philadelphia,3.00
1926,AL,Fewest Hits Allowed,Philadelphia,1362
1926,AL,Fewest Home Runs Allowed,Philadelphia,38
1926,AL,Fewest Walks Allowed,Cleveland,450
1926,AL,Saves,Washington,26
1926,AL,Shutouts,Chicago,11
1926,AL,Strikeouts,Philadelphia,571
1927,AL,Complete Games,Chicago,85
1927,AL,ERA,New York,3.20
1927,AL,Fewest Hits Allowed,New York,1403
1927,AL,Fewest Home Runs Allowed,Cleveland,37
1927,AL,Fewest Walks Allowed,New York,409
1927,AL,Saves,Philadelphia,24
1927,AL,Shutouts,New York,11
1927,AL,Strikeouts,Philadelphia,553
1928,AL,Complete Games,Chicago,88
1928,AL,ERA,Philadelphia,3.37
1928,AL,Fewest Hits Allowed,Philadelphia,1349
1928,AL,Fewest Home Runs Allowed,Washington,40
1928,AL,Fewest Walks Allowed,Philadelphia,424
1928,AL,Saves,New York,21
1928,AL,Shutouts,Philadelphia,15
1928,AL,Strikeouts,Philadelphia,607
1929,AL,Complete Games,Boston,84
1929,AL,ERA,Philadelphia,3.44
1929,AL,Fewest Hits Allowed,Philadelphia,1371
1929,AL,Fewest Home Runs Allowed,Washington,48
1929,AL,Fewest Walks Allowed,St. Louis,462
1929,AL,Saves,Philadelphia,24
1929,AL,Shutouts,St. Louis,15
1929,AL,Strikeouts,Philadelphia,573
1930,AL,Complete Games,Washington,78
1930,AL,ERA,Washington,3.97
1930,AL,Fewest Hits Allowed,Washington,1367
1930,AL,Fewest Home Runs Allowed,Washington,52
1930,AL,Fewest Walks Allowed,Chicago,407
1930,AL,Saves,Philadelphia,21
1930,AL,Shutouts,Philadelphia,8
1930,AL,Strikeouts,Philadelphia,672
1931,AL,Complete Games,Philadelphia,97
1931,AL,ERA,Philadelphia,3.47
1931,AL,Fewest Hits Allowed,Philadelphia,1342
1931,AL,Fewest Home Runs Allowed,Boston,54
1931,AL,Fewest Walks Allowed,St. Louis,448
1931,AL,Saves,Washington,24
1931,AL,Shutouts,Philadelphia,12
1931,AL,Strikeouts,New York,686
1932,AL,Complete Games,New York,96
1932,AL,ERA,New York,3.99
1932,AL,Fewest Hits Allowed,Detroit,1421
1932,AL,Fewest Home Runs Allowed,Cleveland,70
1932,AL,Fewest Walks Allowed,Cleveland,446
1932,AL,Saves,Washington,22
1932,AL,Shutouts,New York,11
1932,AL,Strikeouts,New York,780
1933,AL,Complete Games,Cleveland,74
1933,AL,ERA,Cleveland,3.71
1933,AL,Fewest Hits Allowed,Cleveland,1382
1933,AL,Fewest Home Runs Allowed,Cleveland,60
1933,AL,Fewest Walks Allowed,Washington,452
1933,AL,Saves,Washington,26
1933,AL,Shutouts,Cleveland,12
1933,AL,Strikeouts,New York,711
1934,AL,Complete Games,New York,83
1934,AL,ERA,New York,3.76
1934,AL,Fewest Hits Allowed,New York,1349
1934,AL,Fewest Walks Allowed,Detroit,488
1934,AL,Saves,St. Louis,20
1934,AL,Shutouts,Detroit,13
1934,AL,Strikeouts,New York,656
1935,AL,Complete Games,Detroit,87
1935,AL,ERA,New York,3.60
1935,AL,Fewest Hits Allowed,New York,1276
1935,AL,Fewest Home Runs Allowed,Boston,67
1935,AL,Fewest Walks Allowed,Cleveland,457
1935,AL,Saves,Cleveland,21
1935,AL,Shutouts,Detroit,16
1935,AL,Strikeouts,New York,594
1936,AL,Complete Games,Chicago,80
1936,AL,ERA,New York,4.18
1936,AL,Fewest Hits Allowed,New York,1474
1936,AL,Fewest Home Runs Allowed,Cleveland,73
1936,AL,Fewest Walks Allowed,Boston,552
1936,AL,Saves,New York,21
1936,AL,Shutouts,Detroit,13
1936,AL,Strikeouts,New York,624
1937,AL,Complete Games,New York,82
1937,AL,ERA,New York,3.65
1937,AL,Fewest Hits Allowed,New York,1417
1937,AL,Fewest Home Runs Allowed,Cleveland,61
1937,AL,Fewest Walks Allowed,New York,506
1937,AL,Saves,Chicago,21
1937,AL,Shutouts,Chicago,15
1937,AL,Strikeouts,Boston,682
1938,AL,Complete Games,New York,91
1938,AL,ERA,New York,3.92
1938,AL,Fewest Hits Allowed,Cleveland,1416
1938,AL,Fewest Home Runs Allowed,New York,85
1938,AL,Fewest Walks Allowed,Boston,528
1938,AL,Saves,Cleveland,17
1938,AL,Shutouts,New York,11
1938,AL,Strikeouts,Cleveland,717
1939,AL,Complete Games,New York,87
1939,AL,ERA,New York,3.31
1939,AL,Fewest Hits Allowed,New York,1208
1939,AL,Fewest Walks Allowed,Chicago,454
1939,AL,Saves,New York,26
1939,AL,Shutouts,New York,15
1939,AL,Strikeouts,Detroit,633
1940,AL,Complete Games,Chicago,83
1940,AL,ERA,Cleveland,3.64
1940,AL,Fewest Hits Allowed,Cleveland,1328
1940,AL,Fewest Home Runs Allowed,Cleveland,86
1940,AL,Fewest Walks Allowed,Chicago,480
1940,AL,Saves,Detroit,23
1940,AL,Shutouts,Cleveland,13
1940,AL,Strikeouts,Detroit,752
1941,AL,Complete Games,Chicago,106
1941,AL,ERA,Chicago,3.52
1941,AL,Fewest Hits Allowed,New York,1309
1941,AL,Fewest Home Runs Allowed,Washington,69
1941,AL,Fewest Walks Allowed,Chicago,521
1941,AL,Saves,New York,26
1941,AL,Shutouts,Chicago,14
1941,AL,Strikeouts,Detroit,697
1942,AL,Complete Games,New York,88
1942,AL,ERA,New York,2.91
1942,AL,Fewest Hits Allowed,New York,1259
1942,AL,Fewest Home Runs Allowed,Washington,50
1942,AL,Fewest Walks Allowed,New York,431
1942,AL,Saves,Boston,17
1942,AL,Shutouts,New York,18
1942,AL,Strikeouts,Detroit,671
1943,AL,Complete Games,New York,83
1943,AL,ERA,New York,2.93
1943,AL,Fewest Hits Allowed,Detroit,1226
1943,AL,Fewest Home Runs Allowed,Washington,48
1943,AL,Fewest Walks Allowed,St. Louis,488
1943,AL,Saves,Washington,21
1943,AL,Shutouts,Detroit,18
1943,AL,Strikeouts,Detroit,706
1944,AL,Complete Games,Detroit,87
1944,AL,ERA,Detroit,3.09
1944,AL,Fewest Hits Allowed,Philadelphia,1345
1944,AL,Fewest Home Runs Allowed,Detroit,39
1944,AL,Fewest Walks Allowed,Philadelphia,390
1944,AL,Saves,Cleveland,18
1944,AL,Shutouts,Detroit,20
1944,AL,Strikeouts,St. Louis,581
1945,AL,Complete Games,St. Louis,91
1945,AL,ERA,Washington,2.93
1945,AL,Fewest Hits Allowed,Cleveland,1269
1945,AL,Fewest Home Runs Allowed,Cleveland,39
1945,AL,Fewest Walks Allowed,Washington,440
1945,AL,Saves,Detroit,16
1945,AL,Shutouts,Detroit,19
1945,AL,Strikeouts,Detroit,588
1946,AL,Complete Games,Detroit,94
1946,AL,ERA,Chicago,3.10
1946,AL,Fewest Hits Allowed,New York,1232
1946,AL,Fewest Home Runs Allowed,New York,66
1946,AL,Fewest Walks Allowed,Detroit,497
1946,AL,Saves,Boston,20
1946,AL,Shutouts,Detroit,18
1946,AL,Strikeouts,Detroit,896
1947,AL,Complete Games,Detroit,77
1947,AL,ERA,New York,3.40
1947,AL,Fewest Hits Allowed,New York,1221
1947,AL,Fewest Home Runs Allowed,Washington,63
1947,AL,Fewest Walks Allowed,Detroit,531
1947,AL,Saves,Cleveland,29
1947,AL,Shutouts,Detroit,15
1947,AL,Strikeouts,New York,691
1948,AL,Complete Games,Philadelphia,74
1948,AL,ERA,Cleveland,3.23
1948,AL,Fewest Hits Allowed,Cleveland,1246
1948,AL,Fewest Home Runs Allowed,Washington,81
1948,AL,Fewest Walks Allowed,Detroit,589
1948,AL,Saves,Cleveland,30
1948,AL,Shutouts,Cleveland,26
1948,AL,Strikeouts,Detroit,678
1949,AL,Complete Games,Philadelphia,85
1949,AL,ERA,Cleveland,3.36
1949,AL,Fewest Hits Allowed,New York,1231
1949,AL,Fewest Home Runs Allowed,Washington,79
1949,AL,Fewest Walks Allowed,Cleveland,611
1949,AL,Saves,New York,36
1949,AL,Shutouts,Detroit,19
1949,AL,Strikeouts,New York,671
1950,AL,Complete Games,Detroit,72
1950,AL,ERA,Cleveland,3.76
1950,AL,Fewest Hits Allowed,Cleveland,1289
1950,AL,Fewest Home Runs Allowed,Washington,99
1950,AL,Fewest Walks Allowed,Detroit,553
1950,AL,Saves,New York,31
1950,AL,Shutouts,New York,12
1950,AL,Strikeouts,New York,712
1951,AL,Complete Games,Cleveland,76
1951,AL,ERA,Cleveland,3.39
1951,AL,Fewest Hits Allowed,Cleveland,1287
1951,AL,Fewest Home Runs Allowed,Cleveland,85
1951,AL,Fewest Walks Allowed,Chicago,549
1951,AL,Saves,Boston,24
1951,AL,Shutouts,New York,24
1951,AL,Strikeouts,New York,664
1952,AL,Complete Games,Cleveland,80
1952,AL,ERA,New York,3.15
1952,AL,Fewest Hits Allowed,New York,1240
1952,AL,Fewest Home Runs Allowed,Washington,78
1952,AL,Fewest Walks Allowed,Philadelphia,526
1952,AL,Saves,Chicago,28
1952,AL,Shutouts,New York,21
1952,AL,Strikeouts,Chicago,774
1953,AL,Complete Games,Cleveland,81
1953,AL,ERA,New York,3.21
1953,AL,Fewest Hits Allowed,New York,1286
1953,AL,Fewest Home Runs Allowed,Boston,92
1953,AL,Fewest Walks Allowed,Washington,478
1953,AL,Saves,New York,39
1953,AL,Shutouts,New York,18
1953,AL,Strikeouts,Chicago,714
1954,AL,Complete Games,Cleveland,77
1954,AL,ERA,Cleveland,2.79
1954,AL,Fewest Hits Allowed,Cleveland,1220
1954,AL,Fewest Home Runs Allowed,Baltimore,78
1954,AL,Fewest Walks Allowed,Cleveland,486
1954,AL,Saves,New York,37
1954,AL,Shutouts,Chicago,23
1954,AL,Strikeouts,Boston,707
1955,AL,Complete Games,Detroit,66
1955,AL,ERA,New York,3.23
1955,AL,Fewest Hits Allowed,New York,1163
1955,AL,Fewest Home Runs Allowed,Washington,99
1955,AL,Fewest Walks Allowed,Chicago,497
1955,AL,Saves,Cleveland,36
1955,AL,Shutouts,Chicago,20
1955,AL,Strikeouts,Cleveland,877
1956,AL,Complete Games,Cleveland,67
1956,AL,ERA,Cleveland,3.33
1956,AL,Fewest Hits Allowed,Cleveland,1233
1956,AL,Fewest Home Runs Allowed,Baltimore,99
1956,AL,Fewest Walks Allowed,Chicago,524
1956,AL,Saves,New York,35
1956,AL,Shutouts,Cleveland,17
1956,AL,Strikeouts,Cleveland,845
1957,AL,Complete Games,Chicago,59
1957,AL,ERA,New York,3.00
1957,AL,Fewest Hits Allowed,New York,1198
1957,AL,Fewest Home Runs Allowed,Baltimore,95
1957,AL,Fewest Walks Allowed,Chicago,470
1957,AL,Saves,New York,42
1957,AL,Shutouts,Chicago,16
1957,AL,Strikeouts,New York,810
1958,AL,Complete Games,Detroit,59
1958,AL,ERA,New York,3.22
1958,AL,Fewest Hits Allowed,New York,1201
1958,AL,Fewest Home Runs Allowed,Baltimore,106
1958,AL,Fewest Walks Allowed,Baltimore,403
1958,AL,Saves,New York,33
1958,AL,Shutouts,New York,21
1958,AL,Strikeouts,Detroit,797
1959,AL,Complete Games,Cleveland,58
1959,AL,ERA,Chicago,3.29
1959,AL,Fewest Hits Allowed,Cleveland,1230
1959,AL,Fewest Home Runs Allowed,Baltimore,111
1959,AL,Fewest Walks Allowed,Detroit,432
1959,AL,Saves,Chicago,36
1959,AL,Shutouts,Baltimore,15
1959,AL,Strikeouts,New York,836
1960,AL,Complete Games,Baltimore,48
1960,AL,ERA,New York,3.52
1960,AL,Fewest Hits Allowed,Baltimore,1222
1960,AL,Fewest Home Runs Allowed,Baltimore,117
1960,AL,Fewest Walks Allowed,Detroit,474
1960,AL,Saves,New York,42
1960,AL,Shutouts,New York,16
1960,AL,Strikeouts,Detroit,824
1961,AL,Complete Games,Detroit,62
1961,AL,ERA,Baltimore,3.22
1961,AL,Fewest Hits Allowed,Baltimore,1226
1961,AL,Fewest Home Runs Allowed,Baltimore,109
1961,AL,Fewest Walks Allowed,Detroit,469
1961,AL,Saves,New York,39
1961,AL,Shutouts,Baltimore,21
1961,AL,Strikeouts,Los Angeles,973
1962,AL,Complete Games,Minnesota,53
1962,AL,ERA,Baltimore,3.70
1962,AL,Fewest Hits Allowed,Baltimore,1373
1962,AL,Fewest Home Runs Allowed,Los Angeles,118
1962,AL,Fewest Walks Allowed,Minnesota,493
1962,AL,Saves,Los Angeles,47
1962,AL,Shutouts,Los Angeles,15
1962,AL,Strikeouts,Minnesota,948
1963,AL,Complete Games,New York,59
1963,AL,ERA,Chicago,2.98
