Year,League,Statistic,Team,Value
1901,NL,Base on Balls,Philadelphia,430
1901,NL,Batting Average,Brooklyn,.287
1901,NL,Doubles,Brooklyn,206
1901,NL,Hits,St. Louis,1430
1901,NL,Home Runs,St. Louis,39
1901,NL,On Base Percentage,Pittsburgh,.345
1901,NL,Runs,St. Louis,792
1901,NL,Slugging Average,Brooklyn,.387
1901,NL,Stolen Bases,Chicago,204
1901,NL,Triples,St. Louis,94
1902,NL,Base on Balls,Boston,398
1902,NL,Batting Average,Pittsburgh,.286
1902,NL,Doubles,Pittsburgh,189
1902,NL,Hits,Pittsburgh,1410
1902,NL,Home Runs,Brooklyn,19
1902,NL,On Base Percentage,Pittsburgh,.344
1902,NL,Runs,Pittsburgh,775
1902,NL,Slugging Average,Pittsburgh,.374
1902,NL,Stolen Bases,Chicago,222
1902,NL,Triples,Pittsburgh,95
1903,NL,Base on Balls,Brooklyn,522
1903,NL,Batting Average,Cincinnati,.288
1903,NL,Doubles,Cincinnati,228
1903,NL,Hits,Pittsburgh,1429
1903,NL,Home Runs,Pittsburgh,34
1903,NL,On Base Percentage,Brooklyn,.348
1903,NL,Runs,Pittsburgh,793
1903,NL,Slugging Average,Pittsburgh,.393
1903,NL,Stolen Bases,Brooklyn,273
1903,NL,Triples,Pittsburgh,110
1904,NL,Base on Balls,New York,434
1904,NL,Batting Average,New York,.262
1904,NL,Doubles,New York,202
1904,NL,Hits,New York,1347
1904,NL,Home Runs,New York,31
1904,NL,On Base Percentage,New York,.328
1904,NL,Runs,New York,744
1904,NL,Slugging Average,New York,.344
1904,NL,Stolen Bases,New York,283
1904,NL,Triples,Pittsburgh,102
1905,NL,Base on Balls,New York,517
1905,NL,Batting Average,New York,.273
1905,NL,Doubles,New York,191
1905,NL,Hits,Cincinnati,1401
1905,NL,Home Runs,New York,39
1905,NL,On Base Percentage,New York,.351
1905,NL,Runs,New York,780
1905,NL,Slugging Average,New York,.368
1905,NL,Stolen Bases,New York,291
1905,NL,Triples,Cincinnati,101
1906,NL,Base on Balls,New York,563
1906,NL,Batting Average,Chicago,.262
1906,NL,Doubles,Philadelphia,197
1906,NL,Hits,Chicago,1316
1906,NL,Home Runs,Brooklyn,25
1906,NL,On Base Percentage,New York,.343
1906,NL,Runs,Chicago,705
1906,NL,Slugging Average,Chicago,.339
1906,NL,Stolen Bases,New York,288
1906,NL,Triples,Chicago,71
1907,NL,Base on Balls,New York,516
1907,NL,Batting Average,Pittsburgh,.254
1907,NL,Doubles,Chicago,162
1907,NL,Hits,Pittsburgh,1261
1907,NL,Home Runs,New York,23
1907,NL,On Base Percentage,New York,.331
1907,NL,Runs,Pittsburgh,634
1907,NL,Slugging Average,Pittsburgh,.324
1907,NL,Stolen Bases,Pittsburgh,264
1907,NL,Triples,Cincinnati,90
1908,NL,Base on Balls,New York,494
1908,NL,Batting Average,New York,.267
1908,NL,Doubles,Chicago,196
1908,NL,Hits,New York,1339
1908,NL,Home Runs,Brooklyn,28
1908,NL,On Base Percentage,New York,.342
1908,NL,Runs,New York,652
1908,NL,Slugging Average,New York,.333
1908,NL,Stolen Bases,Chicago,212
1908,NL,Triples,Pittsburgh,98
1909,NL,Base on Balls,St. Louis,568
1909,NL,Batting Average,Pittsburgh,.260
1909,NL,Doubles,Pittsburgh,218
1909,NL,Hits,Pittsburgh,1332
1909,NL,Home Runs,New York,26
1909,NL,On Base Percentage,New York,.329
1909,NL,Runs,Pittsburgh,699
1909,NL,Slugging Average,Pittsburgh,.353
1909,NL,Stolen Bases,Cincinnati,280
1909,NL,Triples,Pittsburgh,92
1910,NL,Base on Balls,St. Louis,655
1910,NL,Batting Average,New York,.275
1910,NL,Doubles,Philadelphia,223
1910,NL,Hits,New York,1391
1910,NL,Home Runs,Chicago,34
1910,NL,On Base Percentage,New York,.354
1910,NL,Runs,New York,715
1910,NL,Slugging Average,Chicago,.366
1910,NL,Stolen Bases,Cincinnati,310
1910,NL,Triples,Chicago,84
1911,NL,Base on Balls,St. Louis,592
1911,NL,Batting Average,New York,.279
1911,NL,Doubles,Boston,249
1911,NL,Hits,Boston,1417
1911,NL,Home Runs,Philadelphia,60
1911,NL,On Base Percentage,New York,.358
1911,NL,Runs,Chicago,757
1911,NL,Slugging Average,New York,.390
1911,NL,Stolen Bases,New York,347
1911,NL,Triples,Pittsburgh,106
1912,NL,Base on Balls,Chicago,560
1912,NL,Batting Average,New York,.286
1912,NL,Doubles,Chicago,245
1912,NL,Hits,Pittsburgh,1493
1912,NL,Home Runs,New York,47
1912,NL,On Base Percentage,New York,.360
1912,NL,Runs,New York,823
1912,NL,Slugging Average,Pittsburgh,.398
1912,NL,Stolen Bases,New York,319
1912,NL,Triples,Pittsburgh,129
1913,NL,Base on Balls,Chicago,554
1913,NL,Batting Average,New York,.273
1913,NL,Doubles,Philadelphia,257
1913,NL,Hits,Philadelphia,1433
1913,NL,Home Runs,Philadelphia,73
1913,NL,On Base Percentage,New York,.338
1913,NL,Runs,Chicago,720
1913,NL,Slugging Average,Philadelphia,.382
1913,NL,Stolen Bases,New York,296
1913,NL,Triples,Chicago,96
1914,NL,Base on Balls,Boston,502
1914,NL,Batting Average,Brooklyn,.269
1914,NL,Doubles,New York,222
1914,NL,Hits,Brooklyn,1386
1914,NL,Home Runs,Philadelphia,62
1914,NL,On Base Percentage,New York,.330
1914,NL,Runs,New York,672
1914,NL,Slugging Average,Philadelphia,.361
1914,NL,Stolen Bases,New York,239
1914,NL,Triples,Brooklyn,90
1915,NL,Base on Balls,Boston,549
1915,NL,Batting Average,St. Louis,.254
1915,NL,Doubles,Boston,231
1915,NL,Hits,Cincinnati,1323
1915,NL,Home Runs,Philadelphia,58
1915,NL,On Base Percentage,Boston,.321
1915,NL,Runs,St. Louis,590
1915,NL,Slugging Average,Chicago,.342
1915,NL,Stolen Bases,Pittsburgh,182
1915,NL,Triples,St. Louis,92
1916,NL,Base on Balls,Boston,437
1916,NL,Batting Average,Brooklyn,.261
1916,NL,Doubles,Philadelphia,223
1916,NL,Hits,Brooklyn,1366
1916,NL,Home Runs,Chicago,46
1916,NL,On Base Percentage,Brooklyn,.313
1916,NL,Runs,New York,597
1916,NL,Slugging Average,Brooklyn,.345
1916,NL,Stolen Bases,New York,206
1916,NL,Triples,Pittsburgh,91
1917,NL,Base on Balls,Philadelphia,435
1917,NL,Batting Average,Cincinnati,.264
1917,NL,Doubles,Philadelphia,225
1917,NL,Hits,Cincinnati,1385
1917,NL,Home Runs,New York,39
1917,NL,On Base Percentage,New York,.317
1917,NL,Runs,New York,635
1917,NL,Slugging Average,Cincinnati,.354
1917,NL,Stolen Bases,New York,162
1917,NL,Triples,Cincinnati,100
1918,NL,Base on Balls,Pittsburgh,371
1918,NL,Batting Average,Cincinnati,.278
1918,NL,Doubles,Cincinnati,165
1918,NL,Hits,Cincinnati,1185
1918,NL,Home Runs,St. Louis,27
1918,NL,On Base Percentage,Cincinnati,.330
1918,NL,Runs,Chicago,538
1918,NL,Slugging Average,Cincinnati,.366
1918,NL,Stolen Bases,Pittsburgh,200
1918,NL,Triples,Cincinnati,84
1919,NL,Base on Balls,Cincinnati,405
1919,NL,Batting Average,New York,.269
1919,NL,Doubles,Philadelphia,208
1919,NL,Hits,Brooklyn,1272
1919,NL,Home Runs,Philadelphia,42
1919,NL,On Base Percentage,Cincinnati,.327
1919,NL,Runs,New York,605
1919,NL,Slugging Average,New York,.366
1919,NL,Stolen Bases,Pittsburgh,196
1919,NL,Triples,Cincinnati,83
1920,NL,Base on Balls,New York,432
1920,NL,Batting Average,St. Louis,.289
1920,NL,Doubles,St. Louis,238
1920,NL,Hits,St. Louis,1589
1920,NL,Home Runs,Philadelphia,64
1920,NL,On Base Percentage,St. Louis,.337
1920,NL,Runs,New York,682
1920,NL,Slugging Average,St. Louis,.385
1920,NL,Stolen Bases,Pittsburgh,181
1920,NL,Triples,Brooklyn,99
1921,NL,Base on Balls,New York,469
1921,NL,Batting Average,St. Louis,.308
1921,NL,Doubles,St. Louis,260
1921,NL,Hits,St. Louis,1635
1921,NL,Home Runs,Philadelphia,88
1921,NL,On Base Percentage,New York,.359
