Year,League,Statistic,Team,Value
1901,NL,Strikeouts,Chicago,586
1902,NL,Complete Games,Chicago,132
1902,NL,ERA,Chicago,2.21
1902,NL,Fewest Hits Allowed,Brooklyn,1113
1902,NL,Fewest Home Runs Allowed,Pittsburgh,4
1902,NL,Fewest Walks Allowed,Pittsburgh,250
1902,NL,Saves,Boston,4
1902,NL,Shutouts,Pittsburgh,21
1902,NL,Strikeouts,Pittsburgh,564
1903,NL,Complete Games,Cincinnati,126
1903,NL,ERA,Chicago,2.77
1903,NL,Fewest Hits Allowed,Chicago,1182
1903,NL,Fewest Home Runs Allowed,Pittsburgh,9
1903,NL,Fewest Walks Allowed,Chicago,354
1903,NL,Saves,New York,8
1903,NL,Shutouts,Pittsburgh,16
1903,NL,Strikeouts,New York,628
1904,NL,Complete Games,St. Louis,146
1904,NL,ERA,New York,2.17
1904,NL,Fewest Hits Allowed,Chicago,1150
1904,NL,Fewest Home Runs Allowed,Cincinnati,13
1904,NL,Fewest Walks Allowed,St. Louis,319
1904,NL,Saves,New York,15
1904,NL,Shutouts,New York,21
1904,NL,Strikeouts,New York,707
1905,NL,Complete Games,Boston,139
1905,NL,ERA,Chicago,2.04
1905,NL,Fewest Hits Allowed,Chicago,1135
1905,NL,Fewest Home Runs Allowed,Pittsburgh,12
1905,NL,Fewest Walks Allowed,New York,364
1905,NL,Saves,New York,15
1905,NL,Shutouts,Chicago,23
1905,NL,Strikeouts,New York,760
1906,NL,Complete Games,Boston,137
1906,NL,ERA,Chicago,1.75
1906,NL,Fewest Hits Allowed,Chicago,1018
1906,NL,Fewest Home Runs Allowed,Chicago,12
1906,NL,Fewest Walks Allowed,Pittsburgh,309
1906,NL,Saves,New York,18
1906,NL,Shutouts,Chicago,30
1906,NL,Strikeouts,Chicago,702
1907,NL,Complete Games,St. Louis,127
1907,NL,ERA,Chicago,1.73
1907,NL,Fewest Hits Allowed,Chicago,1054
1907,NL,Fewest Home Runs Allowed,Chicago,11
1907,NL,Fewest Walks Allowed,Pittsburgh,368
1907,NL,Saves,New York,13
1907,NL,Shutouts,Chicago,32
1907,NL,Strikeouts,New York,655
1908,NL,Complete Games,Brooklyn,118
1908,NL,ERA,Philadelphia,2.10
1908,NL,Fewest Hits Allowed,Chicago,1137
1908,NL,Fewest Home Runs Allowed,Philadelphia,8
1908,NL,Fewest Walks Allowed,New York,288
1908,NL,Saves,New York,18
1908,NL,Shutouts,Chicago,29
1908,NL,Strikeouts,Chicago,668
1909,NL,Complete Games,Brooklyn,126
1909,NL,ERA,Chicago,1.75
1909,NL,Fewest Hits Allowed,Chicago,1094
1909,NL,Fewest Home Runs Allowed,Cincinnati,5
1909,NL,Fewest Walks Allowed,Pittsburgh,320
1909,NL,Saves,New York,15
1909,NL,Shutouts,Chicago,32
1909,NL,Strikeouts,New York,735
1910,NL,Complete Games,Brooklyn,103
1910,NL,ERA,Chicago,2.51
1910,NL,Fewest Hits Allowed,Chicago,1171
1910,NL,Fewest Home Runs Allowed,Brooklyn,17
1910,NL,Fewest Walks Allowed,Pittsburgh,392
1910,NL,Saves,St. Louis,14
1910,NL,Shutouts,Chicago,25
1910,NL,Strikeouts,New York,717
1911,NL,Complete Games,New York,95
1911,NL,ERA,New York,2.70
1911,NL,Fewest Hits Allowed,Pittsburgh,1249
1911,NL,Fewest Home Runs Allowed,Chicago,26
1911,NL,Fewest Walks Allowed,New York,369
1911,NL,Saves,Chicago,16
1911,NL,Shutouts,Philadelphia,20
1911,NL,Strikeouts,New York,771
1912,NL,Complete Games,Pittsburgh,94
1912,NL,ERA,New York,2.59
1912,NL,Fewest Hits Allowed,Pittsburgh,1268
1912,NL,Fewest Home Runs Allowed,Cincinnati,28
1912,NL,Fewest Walks Allowed,New York,338
1912,NL,Saves,New York,16
1912,NL,Shutouts,Pittsburgh,18
1912,NL,Strikeouts,Pittsburgh,664
1913,NL,Complete Games,Boston,105
1913,NL,ERA,New York,2.43
1913,NL,Fewest Hits Allowed,New York,1276
1913,NL,Fewest Home Runs Allowed,Pittsburgh,26
1913,NL,Fewest Walks Allowed,New York,315
1913,NL,Saves,New York,17
1913,NL,Shutouts,Philadelphia,20
1913,NL,Strikeouts,Philadelphia,667
1914,NL,Complete Games,Boston,104
1914,NL,ERA,St. Louis,2.38
1914,NL,Fewest Hits Allowed,Chicago,1169
1914,NL,Fewest Home Runs Allowed,Philadelphia,26
1914,NL,Fewest Walks Allowed,New York,367
1914,NL,Saves,Cincinnati,15
1914,NL,Shutouts,New York,20
1914,NL,Strikeouts,Chicago,651
1915,NL,Complete Games,Philadelphia,98
1915,NL,ERA,Philadelphia,2.17
1915,NL,Fewest Hits Allowed,Philadelphia,1161
1915,NL,Fewest Home Runs Allowed,Pittsburgh,21
1915,NL,Fewest Walks Allowed,New York,325
1915,NL,Saves,Boston,13
1915,NL,Shutouts,Philadelphia,20
1915,NL,Strikeouts,Chicago,657
1916,NL,Complete Games,Boston,97
1916,NL,ERA,Brooklyn,2.12
1916,NL,Fewest Hits Allowed,Brooklyn,1201
1916,NL,Fewest Home Runs Allowed,Boston,24
1916,NL,Fewest Walks Allowed,Philadelphia,295
1916,NL,Saves,St. Louis,15
1916,NL,Shutouts,Philadelphia,25
1916,NL,Strikeouts,Boston,644
1917,NL,Complete Games,Boston,103
1917,NL,ERA,New York,2.27
1917,NL,Fewest Hits Allowed,New York,1221
1917,NL,Fewest Home Runs Allowed,Pittsburgh,14
1917,NL,Fewest Walks Allowed,Philadelphia,325
1917,NL,Saves,New York,14
1917,NL,Shutouts,Philadelphia,22
1917,NL,Strikeouts,Chicago,654
1918,NL,Complete Games,Boston,96
1918,NL,ERA,Chicago,2.18
1918,NL,Fewest Hits Allowed,New York,1002
1918,NL,Fewest Home Runs Allowed,Chicago,13
1918,NL,Fewest Walks Allowed,New York,228
1918,NL,Saves,New York,11
1918,NL,Shutouts,Chicago,23
1918,NL,Strikeouts,Chicago,472
1919,NL,Complete Games,Brooklyn,98
1919,NL,ERA,Chicago,2.21
1919,NL,Fewest Hits Allowed,Cincinnati,1104
1919,NL,Fewest Home Runs Allowed,Chicago,14
1919,NL,Fewest Walks Allowed,Pittsburgh,263
1919,NL,Saves,New York,13
1919,NL,Shutouts,Cincinnati,23
1919,NL,Strikeouts,Chicago,495
1920,NL,Complete Games,Chicago,95
1920,NL,ERA,Brooklyn,2.62
1920,NL,Fewest Hits Allowed,Cincinnati,1327
1920,NL,Fewest Home Runs Allowed,Brooklyn,25
1920,NL,Fewest Walks Allowed,Pittsburgh,280
1920,NL,Saves,St. Louis,12
1920,NL,Shutouts,New York,18
1920,NL,Strikeouts,Brooklyn,553
1921,NL,Complete Games,Pittsburgh,88
1921,NL,ERA,Pittsburgh,3.17
1921,NL,Fewest Hits Allowed,Pittsburgh,1448
1921,NL,Fewest Home Runs Allowed,Pittsburgh,37
1921,NL,Fewest Walks Allowed,New York,295
1921,NL,Saves,New York,18
1921,NL,Shutouts,Boston,11
1921,NL,Strikeouts,Pittsburgh,500
1922,NL,Complete Games,Cincinnati,88
1922,NL,ERA,New York,3.45
1922,NL,Fewest Hits Allowed,New York,1454
1922,NL,Fewest Home Runs Allowed,Cincinnati,49
1922,NL,Fewest Walks Allowed,Cincinnati,326
1922,NL,Saves,New York,15
1922,NL,Shutouts,Pittsburgh,15
1922,NL,Strikeouts,Brooklyn,499
1923,NL,Complete Games,Brooklyn,94
1923,NL,ERA,Cincinnati,3.22
1923,NL,Fewest Hits Allowed,Chicago,1419
1923,NL,Fewest Home Runs Allowed,Cincinnati,28
1923,NL,Fewest Walks Allowed,Cincinnati,359
1923,NL,Saves,New York,18
1923,NL,Shutouts,Boston,13
1923,NL,Strikeouts,Brooklyn,548
1924,NL,Complete Games,Brooklyn,97
1924,NL,ERA,Cincinnati,3.12
1924,NL,Fewest Hits Allowed,Pittsburgh,1387
1924,NL,Fewest Home Runs Allowed,Cincinnati,30
1924,NL,Fewest Walks Allowed,Cincinnati,293
1924,NL,Saves,New York,21
1924,NL,Shutouts,Pittsburgh,15
1924,NL,Strikeouts,Brooklyn,638
1925,NL,Complete Games,Cincinnati,92
1925,NL,ERA,Cincinnati,3.39
1925,NL,Fewest Hits Allowed,Cincinnati,1447
1925,NL,Fewest Home Runs Allowed,Cincinnati,35
1925,NL,Fewest Walks Allowed,Cincinnati,324
1925,NL,Saves,Pittsburgh,13
1925,NL,Shutouts,Cincinnati,11
1925,NL,Strikeouts,Brooklyn,518
1926,NL,Complete Games,St. Louis,90
1926,NL,ERA,Chicago,3.26
1926,NL,Fewest Hits Allowed,New York,1370
1926,NL,Fewest Home Runs Allowed,Chicago,39
1926,NL,Fewest Walks Allowed,Cincinnati,324
1926,NL,Saves,Pittsburgh,18
1926,NL,Shutouts,Cincinnati,14
1926,NL,Strikeouts,Brooklyn,517
1927,NL,Complete Games,Pittsburgh,90
1927,NL,ERA,Brooklyn,3.36
1927,NL,Fewest Hits Allowed,Brooklyn,1382
1927,NL,Fewest Home Runs Allowed,Cincinnati,36
1927,NL,Fewest Walks Allowed,Cincinnati,316
1927,NL,Saves,New York,16
1927,NL,Shutouts,St. Louis,14
1927,NL,Strikeouts,Brooklyn,574
1928,NL,Complete Games,St. Louis,83
1928,NL,ERA,Brooklyn,3.25
1928,NL,Fewest Hits Allowed,Brooklyn,1378
1928,NL,Fewest Home Runs Allowed,Chicago,56
1928,NL,Fewest Walks Allowed,St. Louis,399
1928,NL,Saves,St. Louis,21
1928,NL,Shutouts,Brooklyn,16
1928,NL,Strikeouts,Brooklyn,551
1929,NL,Complete Games,St. Louis,83
1929,NL,ERA,New York,3.97
1929,NL,Fewest Hits Allowed,Pittsburgh,1530
1929,NL,Fewest Home Runs Allowed,Cincinnati,61
1929,NL,Fewest Walks Allowed,New York,387
1929,NL,Saves,Philadelphia,24
1929,NL,Shutouts,Chicago,14
1929,NL,Strikeouts,Brooklyn,549
1930,NL,Complete Games,New York,90
1930,NL,ERA,New York,3.31
1930,NL,Fewest Hits Allowed,New York,1341
1930,NL,Fewest Home Runs Allowed,Cincinnati,51
1930,NL,Fewest Walks Allowed,Brooklyn,351
1930,NL,Saves,St. Louis,20
1930,NL,Shutouts,New York,17
1930,NL,Strikeouts,St. Louis,626
1931,NL,Complete Games,Pittsburgh,80
1931,NL,ERA,Brooklyn,4.03
1931,NL,Fewest Hits Allowed,Brooklyn,1480
