Year,League,Statistic,Team,Value
1897,NL,Home Runs,Boston,45.0
1897,NL,On Base Percentage,Baltimore,0.394
1897,NL,Runs,Boston,1025.0
1897,NL,Slugging Average,Boston,0.426
1897,NL,Stolen Bases,Baltimore,401.0
1897,NL,Triples,Pittsburgh,108.0
1898,NL,Base on Balls,Cleveland,545.0
1898,NL,Batting Average,Baltimore,0.302
1898,NL,Doubles,Philadelphia,238.0
1898,NL,Hits,Baltimore,1584.0
1898,NL,Home Runs,Boston,53.0
1898,NL,On Base Percentage,Baltimore,0.382
1898,NL,Runs,Baltimore,933.0
1898,NL,Slugging Average,Boston,0.377
1898,NL,Stolen Bases,Baltimore,250.0
1898,NL,Triples,Cincinnati,101.0
1899,NL,Base on Balls,Cincinnati,485.0
1899,NL,Batting Average,Philadelphia,0.301
1899,NL,Doubles,Philadelphia,241.0
1899,NL,Hits,Philadelphia,1613.0
1899,NL,Home Runs,St. Louis,47.0
1899,NL,On Base Percentage,Brooklyn,0.368
1899,NL,Runs,Philadelphia,916.0
1899,NL,Slugging Average,Philadelphia,0.395
1899,NL,Stolen Bases,Baltimore,364.0
1899,NL,Triples,Pittsburgh,121.0
1900,NL,Base on Balls,Philadelphia,440.0
1900,NL,Batting Average,Brooklyn,0.293
1900,NL,Doubles,Chicago,202.0
1900,NL,Hits,Philadelphia,1439.0
1900,NL,Home Runs,Boston,48.0
1900,NL,On Base Percentage,Brooklyn,0.359
1900,NL,Runs,Brooklyn,816.0
1900,NL,Slugging Average,Brooklyn,0.383
1900,NL,Stolen Bases,Brooklyn,274.0
1900,NL,Triples,Pittsburgh,100.0
1901,NL,Base on Balls,Philadelphia,430.0
1901,NL,Batting Average,Brooklyn,0.287
1901,NL,Doubles,Brooklyn,206.0
1901,NL,Hits,St. Louis,1430.0
1901,NL,Home Runs,St. Louis,39.0
1901,NL,On Base Percentage,Pittsburgh,0.345
1901,NL,Runs,St. Louis,792.0
1901,NL,Slugging Average,Brooklyn,0.387
1901,NL,Stolen Bases,Chicago,204.0
1901,NL,Triples,St. Louis,94.0
1902,NL,Base on Balls,Boston,398.0
1902,NL,Batting Average,Pittsburgh,0.286
1902,NL,Doubles,Pittsburgh,189.0
1902,NL,Hits,Pittsburgh,1410.0
1902,NL,Home Runs,Brooklyn,19.0
1902,NL,On Base Percentage,Pittsburgh,0.344
