Year,League,Statistic,Team,Value
1897,NL,Fewest Hits Allowed,New York,1214.0
1897,NL,Fewest Home Runs Allowed,Baltimore,18.0
1897,NL,Fewest Walks Allowed,Cleveland,289.0
1897,NL,Saves,Boston,7.0
1897,NL,Shutouts,Boston,8.0
1897,NL,Strikeouts,New York,456.0
1898,NL,Complete Games,Cleveland,142.0
1898,NL,ERA,Chicago,2.83
1898,NL,Fewest Hits Allowed,Boston,1186.0
1898,NL,Fewest Home Runs Allowed,Pittsburgh,14.0
1898,NL,Fewest Walks Allowed,Cleveland,309.0
1898,NL,Saves,Boston,8.0
1898,NL,Shutouts,Chicago,13.0
1898,NL,Strikeouts,New York,558.0
1899,NL,Complete Games,Chicago,147.0
1899,NL,ERA,Brooklyn,3.25
1899,NL,Fewest Hits Allowed,Boston,1273.0
1899,NL,Fewest Home Runs Allowed,Baltimore,13.0
1899,NL,Fewest Walks Allowed,St. Louis,321.0
1899,NL,Saves,Brooklyn,9.0
1899,NL,Shutouts,Philadelphia,15.0
1899,NL,Strikeouts,New York,397.0
1900,NL,Complete Games,Chicago,137.0
1900,NL,ERA,Pittsburgh,3.06
1900,NL,Fewest Hits Allowed,Pittsburgh,1232.0
1900,NL,Fewest Home Runs Allowed,Chicago,21.0
1900,NL,Fewest Walks Allowed,Pittsburgh,295.0
1900,NL,Saves,Brooklyn,4.0
1900,NL,Shutouts,St. Louis,12.0
1900,NL,Strikeouts,Pittsburgh,415.0
1901,NL,Complete Games,Chicago,131.0
1901,NL,ERA,Pittsburgh,2.58
1901,NL,Fewest Hits Allowed,Boston,1196.0
1901,NL,Fewest Home Runs Allowed,Brooklyn,18.0
1901,NL,Fewest Walks Allowed,Pittsburgh,244.0
1901,NL,Saves,Brooklyn,5.0
1901,NL,Shutouts,Philadelphia,15.0
1901,NL,Strikeouts,Chicago,586.0
1902,NL,Complete Games,Chicago,132.0
1902,NL,ERA,Chicago,2.21
1902,NL,Fewest Hits Allowed,Brooklyn,1113.0
1902,NL,Fewest Home Runs Allowed,Pittsburgh,4.0
1902,NL,Fewest Walks Allowed,Pittsburgh,250.0
1902,NL,Saves,Boston,4.0
1902,NL,Shutouts,Pittsburgh,21.0
1902,NL,Strikeouts,Pittsburgh,564.0
1903,NL,Complete Games,Cincinnati,126.0
1903,NL,ERA,Chicago,2.77
1903,NL,Fewest Hits Allowed,Chicago,1182.0
1903,NL,Fewest Home Runs Allowed,Pittsburgh,9.0
1903,NL,Fewest Walks Allowed,Chicago,354.0
1903,NL,Saves,New York,8.0
1903,NL,Shutouts,Pittsburgh,16.0
1903,NL,Strikeouts,New York,628.0
1904,NL,Complete Games,St. Louis,146.0
1904,NL,ERA,New York,2.17
1904,NL,Fewest Hits Allowed,Chicago,1150.0
1904,NL,Fewest Home Runs Allowed,Cincinnati,13.0
1904,NL,Fewest Walks Allowed,St. Louis,319.0
1904,NL,Saves,New York,15.0
1904,NL,Shutouts,New York,21.0
1904,NL,Strikeouts,New York,707.0
1905,NL,Complete Games,Boston,139.0
1905,NL,ERA,Chicago,2.04
1905,NL,Fewest Hits Allowed,Chicago,1135.0
1905,NL,Fewest Home Runs Allowed,Pittsburgh,12.0
1905,NL,Fewest Walks Allowed,New York,364.0
1905,NL,Saves,New York,15.0
1905,NL,Shutouts,Chicago,23.0
1905,NL,Strikeouts,New York,760.0
1906,NL,Complete Games,Boston,137.0
1906,NL,ERA,Chicago,1.75
1906,NL,Fewest Hits Allowed,Chicago,1018.0
1906,NL,Fewest Home Runs Allowed,Chicago,12.0
1906,NL,Fewest Walks Allowed,Pittsburgh,309.0
1906,NL,Saves,New York,18.0
1906,NL,Shutouts,Chicago,30.0
1906,NL,Strikeouts,Chicago,702.0
1907,NL,Complete Games,St. Louis,127.0
1907,NL,ERA,Chicago,1.73
1907,NL,Fewest Hits Allowed,Chicago,1054.0
1907,NL,Fewest Home Runs Allowed,Chicago,11.0
1907,NL,Fewest Walks Allowed,Pittsburgh,368.0
1907,NL,Saves,New York,13.0
1907,NL,Shutouts,Chicago,32.0
1907,NL,Strikeouts,New York,655.0
1908,NL,Complete Games,Brooklyn,118.0
1908,NL,ERA,Philadelphia,2.1
1908,NL,Fewest Hits Allowed,Chicago,1137.0
1908,NL,Fewest Home Runs Allowed,Philadelphia,8.0
1908,NL,Fewest Walks Allowed,New York,288.0
1908,NL,Saves,New York,18.0
1908,NL,Shutouts,Chicago,29.0
1908,NL,Strikeouts,Chicago,668.0
1909,NL,Complete Games,Brooklyn,126.0
1909,NL,ERA,Chicago,1.75
1909,NL,Fewest Hits Allowed,Chicago,1094.0
1909,NL,Fewest Home Runs Allowed,Cincinnati,5.0
1909,NL,Fewest Walks Allowed,Pittsburgh,320.0
1909,NL,Saves,New York,15.0
1909,NL,Shutouts,Chicago,32.0
1909,NL,Strikeouts,New York,735.0
1910,NL,Complete Games,Brooklyn,103.0
1910,NL,ERA,Chicago,2.51
1910,NL,Fewest Hits Allowed,Chicago,1171.0
1910,NL,Fewest Home Runs Allowed,Brooklyn,17.0
1910,NL,Fewest Walks Allowed,Pittsburgh,392.0
1910,NL,Saves,St. Louis,14.0
1910,NL,Shutouts,Chicago,25.0
1910,NL,Strikeouts,New York,717.0
1911,NL,Complete Games,New York,95.0
1911,NL,ERA,New York,2.7
1911,NL,Fewest Hits Allowed,Pittsburgh,1249.0
1911,NL,Fewest Home Runs Allowed,Chicago,26.0
1911,NL,Fewest Walks Allowed,New York,369.0
1911,NL,Saves,Chicago,16.0
1911,NL,Shutouts,Philadelphia,20.0
1911,NL,Strikeouts,New York,771.0
1912,NL,Complete Games,Pittsburgh,94.0
1912,NL,ERA,New York,2.59
1912,NL,Fewest Hits Allowed,Pittsburgh,1268.0
1912,NL,Fewest Home Runs Allowed,Cincinnati,28.0
1912,NL,Fewest Walks Allowed,New York,338.0
1912,NL,Saves,New York,16.0
1912,NL,Shutouts,Pittsburgh,18.0
1912,NL,Strikeouts,Pittsburgh,664.0
1913,NL,Complete Games,Boston,105.0
1913,NL,ERA,New York,2.43
1913,NL,Fewest Hits Allowed,New York,1276.0
1913,NL,Fewest Home Runs Allowed,Pittsburgh,26.0
1913,NL,Fewest Walks Allowed,New York,315.0
1913,NL,Saves,New York,17.0
1913,NL,Shutouts,Philadelphia,20.0
1913,NL,Strikeouts,Philadelphia,667.0
1914,NL,Complete Games,Boston,104.0
1914,NL,ERA,St. Louis,2.38
1914,NL,Fewest Hits Allowed,Chicago,1169.0
1914,NL,Fewest Home Runs Allowed,Philadelphia,26.0
1914,NL,Fewest Walks Allowed,New York,367.0
1914,NL,Saves,Cincinnati,15.0
1914,NL,Shutouts,New York,20.0
1914,NL,Strikeouts,Chicago,651.0
1915,NL,Complete Games,Philadelphia,98.0
1915,NL,ERA,Philadelphia,2.17
1915,NL,Fewest Hits Allowed,Philadelphia,1161.0
1915,NL,Fewest Home Runs Allowed,Pittsburgh,21.0
1915,NL,Fewest Walks Allowed,New York,325.0
1915,NL,Saves,Boston,13.0
1915,NL,Shutouts,Philadelphia,20.0
1915,NL,Strikeouts,Chicago,657.0
1916,NL,Complete Games,Boston,97.0
1916,NL,ERA,Brooklyn,2.12
1916,NL,Fewest Hits Allowed,Brooklyn,1201.0
1916,NL,Fewest Home Runs Allowed,Boston,24.0
1916,NL,Fewest Walks Allowed,Philadelphia,295.0
1916,NL,Saves,St. Louis,15.0
1916,NL,Shutouts,Philadelphia,25.0
1916,NL,Strikeouts,Boston,644.0
1917,NL,Complete Games,Boston,103.0
1917,NL,ERA,New York,2.27
1917,NL,Fewest Hits Allowed,New York,1221.0
1917,NL,Fewest Home Runs Allowed,Pittsburgh,14.0
1917,NL,Fewest Walks Allowed,Philadelphia,325.0
1917,NL,Saves,New York,14.0
1917,NL,Shutouts,Philadelphia,22.0
1917,NL,Strikeouts,Chicago,654.0
1918,NL,Complete Games,Boston,96.0
1918,NL,ERA,Chicago,2.18
1918,NL,Fewest Hits Allowed,New York,1002.0
1918,NL,Fewest Home Runs Allowed,Chicago,13.0
1918,NL,Fewest Walks Allowed,New York,228.0
1918,NL,Saves,New York,11.0
1918,NL,Shutouts,Chicago,23.0
1918,NL,Strikeouts,Chicago,472.0
1919,NL,Complete Games,Brooklyn,98.0
1919,NL,ERA,Chicago,2.21
1919,NL,Fewest Hits Allowed,Cincinnati,1104.0
1919,NL,Fewest Home Runs Allowed,Chicago,14.0
